title,descs
Ketua Gugus Tugas: 124 Kabupaten/Kota Nihil Kasus Positif Corona,"Kendati belum ada kasus, Doni mengatakan 124 kabupaten/kota tersebut belum bisa dipastikan 100 persen aman dari Corona."
Doni Monardo: 81 Persen Masyarakat Ingin Segera Akhiri PSBB,Doni mengaku prihatin melihat masih banyaknya masyarakat yang beraktivitas di luar rumah di masa PSBB.
"PSBB Jakarta Jilid III, Tak Ada Pelonggaran hingga Harap Warga Taat",Gubernur DKI Jakarta Anies Baswedan mengimbau masyarakat untuk terus disiplin berdasarkan protokol kesehatan dalam masa PSBB jilid III ini.
"Pandemi Corona, Masjid Agung Al Azhar Jakarta Selatan Tak Gelar Salat Idul Fitri",Yayasan Masjid Al Azhar Jaksel mengimbau masyarakat dan para jemaah untuk melaksanakan salat Idul Fitri di rumah masing-masing.
Pesan Jokowi Saat Lebaran di Tengah Pandemi Covid-19,"Jokowi menambahkan, hari raya di tengah pandemi dapat menambah peluang untuk tiap muslim melaksanakan ibadah."
"H-1 Lebaran, Polisi Sudah Putar Balik 68 Ribu Pemudik",Argo mengimbau masyarakat tetap disiplin untuk menerapkan aturan larangan mudik untuk mempercepat penanganan penyebaran Covid-19.
Menkes Sarankan Pilkada 2020 Ditunda hingga WHO Cabut Status Pandemi Corona,"Jika WHO belum mencabut status pandemi Covid-19, maka situasi kesehatan negara-negara dunia, termasuk Indonesia, belum bisa dipastikan."
Anies Sebut Ngabuburit Menambah Kasus Positif Corona di DKI Jakarta,"Menurut Anies, budaya mencari takjil setiap sore menjelang berbuka puasa bisa menjadi media penularan virus corona."
Ketua DPRD Gerah Pemprov DKI Sibuk Urus Anggaran Beli Tanah Saat Corona,Prasetio meminta Komisi C DPRD DKI untuk mengevaluasi usulan tersebut. Sebab dia menilai saat ini hal terpenting yakni penanggulangan dampak virus Corona.
"FOTO: Antisipasi Tertular Covid-19, Buruh Panggul Beras Dibekali Obat Herbal",Mengantisipasi penyebaran Covid-19 sejumlah kuli dan buruh di Pasar Induk beras Cipinang diberi obat herbal mentah untuk meredakan panas.
Pemuda Pancasila Beri Sanksi Anggota yang Minta THR ke Pengusaha di Bekasi,Ariyes mengaku telah menemui Majelis Pimpinan Nasional (MPN) Pemuda Pancasila untuk memberikan klarifikasi soal proposal tersebut.
Begini Panduan MUI Salat Idul Fitri di Masa Pandemi Covid-19,"Dalam ketentuannya, MUI mengimbau bagi masyarakat untuk tetap salat Idul Fitri, baik di rumah, di masjid/musala, maupun di lapangan."
KPK Dorong Transparansi Bansos di Jawa Barat,"Tiga kepala daerah di Jabar mengakui, ada pemahaman yang keliru di masyarakat tentang bansos."
"Anies: Tidak Ada Zona Merah Kuning Hijau di Jabodetabek, Semua Sama",Anies mengajak semua masyarakat mengikuti imbauan MUI Jakarta dan DMI untuk melaksanakan salat Idul Fitri di rumah masing-masing.
"MUI: Salat Idul Fitri 2020 Tidak Dilarang, Tapi di Rumah",MUI mengimbau semua pihak salat Idul Fitri di rumah masing-masing untuk mencegah penyebaran virus corona Covid-19.
Dishub DKI Sebut Jumlah Penumpang Angkutan Umum Turun hingga 88 Persen,Jumlah penumpang yang menggunakan transportasi umum juga ikut mengalami penurunan sejak dilaksanakannya imbauan work from home (WFH).
6.500 Paket Sembako Iis Edhy Prabowo untuk Warga di Bandung Terdampak Covid-19,Sembako tersebut diserahkan langsung oleh tim di lapangan guna menjaga jarak fisik (physical distancing) sekaligus agar tepat sasaran
VIDEO: Jokowi Sebut Bansos Terkendala Prosedur Berbelit-belit,"Presiden Joko Widodo atau Jokowi mengakui, penyaluran bantuan sosial (bansos) untuk warga terdampak pandemi virus Corona (Covid-19) banyak kendala dan masalah. Menurut dia, hal itu dikarenakan prosedur pendistribuan bansos terlalu berbelit-belit."
"Sidang Lanjutan, Saksi Dengar Suara Motor Jatuh Usai Novel Baswedan Diserang",Rellin mengaku baru mengetahui Novel Baswedan menjadi korban penyiraman air keras setelah seorang temannya bercerita.
"Soal Haji 2020, Kemenag Harap Saudi Beri Kepastian Sebelum Akhir Ramadan",Kementerian Agama (Kemenag) berharap Pemerintah Arab Saudi dapat segera memberikan kepastian terkait penyelenggaraan ibadah haji 1441H/2020M.
VIDEO: Ridwan Kamil Dirundung Menteri Saat Jabar Terapkan Siaga-1,Gubernur Jawa Barat Ridwan Kamil mengaku sempat dirundung menteri saat menerapkan siaga 1 virus corona di Januari 2020.
Ini Sanksi untuk Warga yang TetapÂ Ibadah di Luar Rumah Saat PSBB,Pemprov DKI Jakarta akan memberikan sanksi terhadap masyarakat yang tetap ibadah di luar rumah selama masa Pembatasan Sosial Berskala Besar (PSBB).
VIDEO: PSBB di Kota Bogor Bakal Diperpanjang hingga 26 Mei 2020,"Penerapan Pembatasan Sosial Berskala Besar (PSBB) untuk wilayah Kota Bogor, Jawa Barat diusulkan untuk diperpanjang selama 14 hari lagi. Pemberlakuan PSBB tahap tiga dimulai 13 Mei hingga 26 Mei 2020."
"Kemenag Usul ke DPR, Kepastian Pelaksanaan Haji 2020 Ditentukan 20 Mei 2020","Menurut Zainut, batas waktu tersebut diperlukan agar pemerintah punya persediaan waktu untuk persiapan dan pelaksanaan ibadah haji 2020."
BP2MI: Pekerja Migran Indonesia Adalah Warga VVIP,"Ketua Badan Perlindungan Pekerja Migran Indonesia (BP2MI), Benny Rhamdani mengaku berkomitmen melindungi pekerja migran meskipun di masa pandemi Covid-19."
Sobat Ambyar: Didi Kempot Mewakili Anak Muda Patah Hati,Binti Nikmatul Afdila mengaku sudah mendengar lagu-lagu campur sari milik 'The God Father of Broken Heart' Didi Kempot sejak masih duduk di bangku SD.
Fakta-Fakta Bullying Ferdian Paleka di Rutan Polrestabes Bandung,"Video perundungan Ferdian Paleka bahkan viral di media sosial. Tak hanya diminta scout jump, pemuda 21 tahun tersebut juga diminta untuk mengakui perbuatannya salah."
Pemprov DKI Sudah Tindak 841 Perusahaan Pelanggar PSBB Jakarta,Andri menegaskan sanksi yang diberikan kepada perusahaan dan buruh tersebut beragam.
Menag Tekanan Umat Muslim Tidak Shalat di Masjid di Masa Pandemi Corona,Kendati di suatu wilayah belum dikabarkan ada yang terpapar Covid-19. Pihaknya tetap menganjurkan dengan keras supaya masyarakat beribadah di rumah.
Jubir Covid-19: Teladani Semangat Pejuang Kemerdekaan untuk Lawan Corona,Menurut prediksi dari sejumlah pakar pandemi Corona Covid-19 di Indonesia akan mereda pada Juni atau Juli 2020 mendatang.
Kasad Andika Perkasa Beri Roti dan Kurma Untuk Tenaga Medis di RSPAD,Lyana bahagia setelah diberi bantuan berupa roti dan buah kurma untuk berbuka puasa disela menjalani tugasnya sebagai perawat pasien COVID-19.
"Bom Masjid di Seruyan Kalteng Ternyata Palsu, Pelaku Positif Gunakan Narkoba",Pelaku mengaku iseng menaruh bom palsu tersebut di masjid karena lewat di depannya.
Nestapa Porter Stasiun Solo Balapan di Tengah Pandemi Corona,"Sebelum virus Corona mewabah, salah satu porter mengaku bisa mendapatkan uang Rp 100 ribu hingga Rp 150 ribu. Namun, saat ini sama sekalui tidak ada penghasilan."
"3 Penumpang KRL Positif Corona, 5 Kepala Daerah Bodebek Akan Surati Menhub","Kepala daerah dari Bogor, Depok dan Bekasi (Bodebek) sepakat segera mengirimkan surat kepada Menteri Perhubungan mengusulkan dua opsi operasional layanan kereta rel listrik (KRL)."
Mantan Ketua Umum IDI Kartono Mohamad Meninggal,IDI mengaku pihaknya begitu kehilangan atas wafatnya dokter senior tersebut.
Mensos Bebaskan Pemda Tentukan Nama Penerima Bansos dari APBD,Dia mengakui bahwa penyaluran bansos untuk warga tidak mampu menuai kritik lantaran dinilai mekanismenya berbelit-belit.
VIDEO TOP 3: Menhub Budi Karya Kembali Bekerja,"Video Top 3 hari ini ada berita terkait penyanyi Taylor Swift mengaku sibuk memasak makan malamnya sendiri, Menhub Budi Karya Sumadi kembali mengikuti rapat kabinet, dan citra satelit menunjukkan kereta mewah yang biasa mengangkut Kim Jon-un."
Bupati Bogor Minta Pemerintah Buat Aturan PSBB secara Nasional,Dia mengakui PSBB di Bogor belum begitu terlihat dampaknya karena beberapa kelemahan.
Tonton Live Streaming Upacara Bendera Perayaan Hardiknas di Youtube Kemendikbud RI,"Mendikbud mengimbau pada setiap satuan pendidikan, kantor instansi pusat dan daerah, serta perwakilan RI di luar negeri, untuk mengikuti jalannya upacara bendera."
"Dapat Keringanan Hukuman, Romahurmuziy Akan Bebas Malam Ini",MA mengaku telah menerima permohonan Kasasi yang diajukan Jaksa Penuntut KPK atas perkara Romi.
LBH Minta Pemerintah Beri Jaminan untuk Buruh di Papua Selama Wabah Corona,"Direktur LBH Papua Emanuel Gobay mengungkap, nasib buruh di Papua masih tidak jelas, terlebih di tengah pandemi Corona."
"Lewat Jumat Berkah, Wali Kota Semarang Keliling Bantu Warga Hadapi Covid-19",Dalam program Jumat Berkah Pemkot Semarang membagikan bantuan berupa hidangan untuk berbuka puasa atau yang populer disebut dengan takjil.
Firli Tolak Ungkap 18 Masalah Hasil Evaluasi Dewas KPK,Firli mengaku sudah menemukan solusi dari masalah yang ditemukan oleh Dewan Pengawas KPK.
